Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL.MUTASADIR COMPANY,11,14489.05,1317.19
Al Baraka Company,12,22630.6,1885.88
Al Khomri Company For Hotels Hajj and Umrah,65,38939.18,599.06
Al Safeer Company For The Transportation of pilgrims,276,260618.02,944.27
Al madinah Al menawarah for the transportation of pilgrims,287,231998.73,808.36
Al-Baraka International Trading Company,4,11112.13,2778.03
Almassa Almotamiza for the transportation of pilgrims,10,3381.63,338.16
Dalah Company For Transportation of Pilgrims,240,143289,597.04
Dura Al Munawwarah,1053,882731.57,838.3
Hafil Company For Transportaion,573,447889.5,781.66
Hussein Mohammad Hijazi COMPANI For Transportaion,20,11837.55,591.88
Makkah Transportation Company,229,177012.87,772.98
Mawakeb Al Janoub  Company,196,100278.53,511.63
Mawakeb Al Khair Transport Company,143,31288.43,218.8
Mazaya For The Transportation of Pilgrims,570,300475.39,527.15
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,2,2958.72,1479.36
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,1,123.25,123.25
Rabitat El Mashaer,9,5201.15,577.91
Rawaf Transport Company,67,25942.72,387.2
Rawahel al mashaer for the transportation of pilgrims,89,38307.83,430.43
Saudi Al Qaid Co,357,200418.17,561.4
Shqadaf Company For Transportation,92,45248.33,491.83
Tawaf Transport Services Company,370,222706.3,601.91
Terhal,2,1393.2,696.6
Unknown,142,36564.26,257.49
Zaer transport company for Transportation,53,50959.15,961.49
alwataniya company for umrah,1,67.55,67.55
dawahi alkhair company,279,197246.87,706.98
