Operator,Number_of_Visits,Total_Time_Spent,Average_Time_Spent
AL-Dar AL-Bydaa,188,12925.8,68.75
AL-ojoor Company,148,10155.83,68.62
AL-wafaa Diamond,23,1681.13,73.09
AL.MUTASADIR COMPANY,68,5010.27,73.68
Abdulelah M. Ali Maghrabi for the transportation of pilgrims,8,942.82,117.85
Afaj Alalmeeya Company,189,13103.83,69.33
Al Baraka Company,419,10943.78,26.12
Al Khomri Company For Hotels Hajj and Umrah,62,4261.95,68.74
Al Maher Al Massi Transport Company,184,15621.51,84.9
Al Safeer Company For The Transportation of pilgrims,140,7736.47,55.26
Al Serag Transportation Co.,4,0.93,0.23
Al madinah Al menawarah for the transportation of pilgrims,208,11630.5,55.92
Al-Baraka International Trading Company,7,750.15,107.16
Al-Sunbulah Al-Raqiyya,210,16897.58,80.46
Aljomoh Transportation Service Company,283,19791.08,69.93
Almassa Almotamiza for the transportation of pilgrims,57,3435.95,60.28
Ameer Albaher For The Transportation of pilgrims,220,15438.68,70.18
Anaqeel Aarbi,183,14023.9,76.63
Arkan Almashaer for the transportation of pilgrims,69,4793.12,69.47
Atheer Almshaer,23,1514.58,65.85
Carthage Alhadetha Company for the transportation of pilgrims,55,2789.92,50.73
Dalah Company For Transportation of Pilgrims,56,2696.18,48.15
Dura Al Munawwarah,673,76687.65,113.95
EL Mahanaa El momaiz For The Transportation of Pilgrims,153,8873.57,58
Hafil Company For Transportaion,298,12133.12,40.72
Hussein Mohammad Hijazi COMPANI For Transportaion,595,43586.63,73.25
Kayan Almashaer Transport Company,164,9864.77,60.15
Maaden Hajj And Umrah Trasportation,82,6805.05,82.99
Makkah Transportation Company,148,9738.97,65.8
Masar AL-hafelt,126,5164.97,40.99
Mawakeb Al Janoub  Company,220,16420.8,74.64
Mawakeb Al Khair Transport Company,37,1784.08,48.22
Mazaya For The Transportation of Pilgrims,286,16311.83,57.03
Mrasee,9,536.85,59.65
Mustakbal Al Mashair For TheTransportation of Pilgrims,46,2580.48,56.1
Nasir Andullah Abu Sarhad Group for the transportation of pilgrims,358,19038.25,53.18
QAFILAT ALHIJAZ FOR TRANSPORTATION CO,525,30489.55,58.08
Rabitat El Mashaer,172,12965.17,75.38
Rahal Al-Oula,88,3050.27,34.66
Rawaf Transport Company,493,45901.45,93.11
Rawahel al mashaer for the transportation of pilgrims,298,16125.35,54.11
Rekab Alowla for the transportation of pilgrims,31,1396.53,45.05
Rowad Al-Afdal Company,114,8229.3,72.19
Rsaeel ALhoda,37,2651.87,71.67
Ruba Al Hijaz,62,3868.2,62.39
SAQAR ALHIAJ,171,9524.77,55.7
SHARIA FOUNDATION,137,7158.22,52.25
Saleh Adnan Mosli Est,125,5062.97,40.5
Samaya for the transportation of pilgrims,334,21884.27,65.52
Saudi Al Qaid Co,137,3655.07,26.68
Saudi Public Transport Company,10,475.1,47.51
Setr Al Rakan Trading Company,71,5207.65,73.35
Shqadaf Company For Transportation,71,3476.65,48.97
Tabarak Internation for the transportation of pilgrims,25,1433.4,57.34
Tarheeb Transport LTD,88,7497.97,85.2
Tawaf Transport Services Company,253,16350.98,64.63
Terhal,131,10392.7,79.33
Trabut Co Ltd,82,13647.71,166.44
Travel Gate,185,13825.6,74.73
Umm Alqura Co,11,968.43,88.04
Unknown,433,26303.85,60.75
Zaer transport company for Transportation,24,1858.7,77.45
alwataniya company for umrah,188,10948.75,58.24
alwessam almutamayiza for the transportation of pilgrims,12,510,42.5
basma emaar group for transportation,136,6816.55,50.12
dawahi alkhair company,449,35083.7,78.14
makkiyoon Al Zahabia Company For Transportation,99,11048.2,111.6
